timestamp,day,phase,drone_id,state,x,y,z,battery_pct,pollinated_count
1779763904.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763904.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763904.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763904.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763905.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763905.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763905.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763905.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763906.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763906.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763906.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763906.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763907.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763907.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763907.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763907.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763908.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763908.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763908.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763908.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763909.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763909.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763909.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763909.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763910.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763910.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763910.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763910.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763911.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763911.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763911.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763911.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763912.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763912.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763912.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763912.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763913.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763913.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763913.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763913.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763914.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763914.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763914.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763914.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763915.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763915.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763915.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763915.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763916.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763916.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763916.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763916.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763917.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763917.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763917.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763917.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763918.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763918.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763918.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763918.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763919.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763919.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763919.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763919.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763920.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763920.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763920.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763920.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763921.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763921.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763921.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763921.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763922.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763922.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763922.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763922.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763923.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763923.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763923.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763923.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763924.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763924.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763924.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763924.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763925.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763925.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763925.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763925.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763926.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763926.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763926.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763926.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763927.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763927.444,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763927.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763927.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763928.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763928.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763928.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763928.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763929.444,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763929.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763929.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763929.945,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763930.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763930.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763930.944,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763930.944,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763931.445,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
1779763931.445,5,SURVEY,1,IDLE,0.000,0.000,0.000,100.0,0
1779763931.945,5,SURVEY,0,IDLE,0.000,0.000,0.000,100.0,0
